1G_A_01	1G_A_02	1G_A_03	1G_B_01	1G_B_02	1G_B_03	1G_C_01	1G_C_02	1G_C_03	DLN_A_01	DLN_A_02	DLN_A_03	DLN_B_01	DLN_B_02	DLN_B_03	DLN_C_01	DLN_C_02	DLN_C_03
ENO2	-0.356227178778082	-0.921623795787319	-1.39402952512875	-0.625333600198245	-0.957491315257504	-1.3130734329487	-0.810376671169953	-1.07388490907067	-0.986616067685815	0.830590779624267	0.794396236907159	0.558360555416097	0.926140276263107	1.09218689204069	1.0824454293164	0.806712250162872	1.13443536719512	1.21338870909931
PSAT1	-0.716405316545007	-0.943348638770395	-0.898332999554685	-0.746623432067619	-0.638703616381406	-0.71751000831752	-1.17070528431531	-1.18584650903335	-1.4955336137054	0.708747283778252	0.817710558296601	1.04518146652997	0.886890136978641	0.930544758750989	0.92208908222771	1.24899213778128	0.798484175197453	1.15436981914979
SOD2	-1.28873705804177	-1.32550083886134	-0.651349596865886	-0.742341133647225	-1.03389373202243	-0.584695250265186	-1.34170588489959	-0.875089891630118	-0.632046200924117	0.993945730662796	0.933865187534026	1.01216380740046	0.780168572319887	1.03140920888723	1.20907102816281	0.80492573308979	1.08092926828458	0.628881050816086
KPNA2	1.04543385349321	0.652985024630054	1.00059291287138	1.07757738999688	0.722140132815232	0.76761561339563	1.30583724846602	0.869281426468953	0.992670817863257	-0.928208969677758	-1.08364214538703	-1.14786190891785	-0.576567162887308	-0.5835641053636	-0.891031614190231	-1.61526355457809	-0.664195223285925	-0.943799735712809
UQCR10	0.43378165493727	0.696014028516023	0.340847501145025	1.10236265591878	0.758112774525924	1.0101949648549	1.41531690153881	1.2883627410071	1.25993446174623	-1.25426387812373	-0.661759436817442	-0.806895010079748	-0.887329541190479	-1.01672098595389	-0.719033304533729	-0.741106544264437	-0.84293323500911	-1.37488574821747
HIST1H4A	0.89920309811597	0.461281460713185	0.721381880178343	0.651869421300719	0.718872941921647	0.633459346442366	1.36541385124296	1.30616496569102	1.44664574064628	-1.24487299392989	-1.02351309507762	-1.11165053561578	-1.43026067138081	-0.737367009639878	-0.900633569306421	-0.859189822606714	-0.250684565664887	-0.646120443030542
FDFT1	1.16793962037512	1.26102431756644	1.00099946954884	1.02170144379298	0.775093175746516	0.990953895168709	0.822455116384168	0.61693962063797	0.57364425383909	-0.572637888154109	-0.988423516229367	-0.316510333523444	-0.805787299249293	-1.09829049281263	-1.82533328016917	-0.680462990555158	-0.762739625674015	-1.18056548669261
LOXL2	-0.622987822523399	-0.477579561121428	-0.423575604723805	-0.373195511533118	-0.697082640036878	-1.53712940404138	-1.2968767968674	-1.46821538200086	-1.17603564509079	1.18189780366537	1.05819191369807	0.337251619269842	1.22643636378545	0.557306982866546	0.663730278753695	1.02782458970562	1.09201929259152	0.928019523602929
WARS	-0.408381740136264	-0.422552661924605	-2.35105385233045	-0.547968339503768	-1.00590261840966	-0.708147645707913	-0.743345377150127	-0.79795930023582	-0.980064320198073	0.82202545334805	0.836057002998934	0.870878635204005	0.634240620189473	0.90365704804693	0.94263465548189	1.05941762296908	0.912244376861839	0.98422044049647
LSS	0.746443426068958	0.375768957317266	0.652938881966929	0.834810587812245	1.50562911424963	0.825607165307425	0.648306608317085	0.794248047083327	0.716429339827773	-2.8307043565152	-0.673069750095167	-0.571127421659022	-0.444086784075996	-0.211138924107469	-0.293621527690076	-0.596118435717074	-0.523008739499498	-0.957306188591167
