logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval	Gene.name	significant
-0.797329937047124	29.6208551819546	-16.6625138555865	1.60733828789008e-13	1.56715483069283e-10	21.0630803120039	P11021;A0A7P0TB36;A0A7P0TAI0	23	-21.4688651325096	3.21081241291656e-17	6.2610842051873e-14	HSPA5	FALSE
-2.39806784907025	23.6977407909229	-16.2426179073164	2.63818066746103e-13	1.71481743384967e-10	20.5870926396545	P09104;F5H0C8	3	-16.8515293646484	7.72192297102829e-15	7.52887489675258e-12	ENO2	TRUE
-1.29238486073159	23.9411574855993	-17.0329142129368	1.04747305785018e-13	1.56715483069283e-10	21.4729860249439	Q9Y617	3	-16.1794846334115	1.90722141208088e-14	1.23969391785257e-11	PSAT1	TRUE
-0.734728380248082	25.8044990381532	-13.9526180096467	4.84841800315565e-12	1.57573585102559e-09	17.7588640136067	P47895;H0Y2X5	8	-14.894971961751	1.17601836223786e-13	5.73308951590959e-11	ALDH1A3	FALSE
0.99289392345694	28.139277404064	13.8383623155543	5.66347617375121e-12	1.57768264840212e-09	17.6065429942598	P05141	7	14.6039222566179	1.80774501625218e-13	7.05020556338351e-11	SLC25A5	FALSE
-0.666319521373794	26.2186781115199	-11.8698330227744	9.81405948930236e-11	1.58394373038505e-08	14.7904697419501	A0A087X054;A0A494C039;Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2	20	-14.2716705480992	2.97845889409092e-13	9.6799914057955e-11	HYOU1	FALSE
-1.17156970868988	25.5262858440075	-15.6808064286282	5.21002255945109e-13	2.53988599773241e-10	19.9306650965717	P04179;F5H4R2;F5GYZ5;F5H3C5;G8JLJ2	2	-14.0577798435082	4.12796082806772e-13	1.14993194496172e-10	SOD2	TRUE
0.753834561961938	26.626757014038	12.6641760200209	2.97786652805258e-11	6.64047872164542e-09	15.97220749219	P15144	10	13.9681048835918	4.73883591053634e-13	1.15509125319323e-10	ANPEP	FALSE
1.12685250141076	23.9843052369125	14.6734476954099	1.86211782868437e-12	7.26225953186905e-10	18.6940845721422	A0A7I2V351;A0A7I2V487;A0A7I2YQE1;P52292;A0A7I2V3Z3	2	13.2633146775253	1.43728397128423e-12	3.11411527111584e-10	KPNA2	TRUE
-0.325522752901431	29.5612059537109	-8.37610127879556	4.15057982507107e-08	1.24517394752132e-06	8.73348487147985	P30101	27	-12.7806454351089	3.15548344195166e-12	6.12682829942944e-10	PDIA3	FALSE
