group	window_start	window_end	wavenumber	n_selected_wavenumbers
43	970	980	970; 970.5; 971; 971.5; 972; 972.5; 973; 973.5; 974; 974.5; 975; 975.5; 976; 976.5; 977; 977.5; 978; 978.5; 979; 979.5	20
51	1050	1060	1050; 1050.5; 1051; 1051.5; 1052; 1052.5; 1053; 1053.5; 1054; 1054.5; 1055; 1055.5; 1056; 1056.5; 1057; 1057.5; 1058; 1058.5; 1059; 1059.5	20
98	1520	1530	1520; 1520.5; 1521; 1521.5; 1522; 1522.5; 1523; 1523.5; 1524; 1524.5; 1525; 1525.5; 1526; 1526.5; 1527; 1527.5; 1528; 1528.5; 1529; 1529.5	20
106	1600	1610	1600; 1600.5; 1601; 1601.5; 1602; 1602.5; 1603; 1603.5; 1604; 1604.5; 1605; 1605.5; 1606; 1606.5; 1607; 1607.5; 1608; 1608.5; 1609; 1609.5	20
108	1620	1630	1620; 1620.5; 1621; 1621.5; 1622; 1622.5; 1623; 1623.5; 1624; 1624.5; 1625; 1625.5; 1626; 1626.5; 1627; 1627.5; 1628; 1628.5; 1629; 1629.5	20
