logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval	Gene.name	significant	Regulation	plot.adj.pval	minus.log10.adj.pval
-0.79732993704711	29.6208551819546	-17.3940626680309	7.58390117320713e-14	5.15571844724845e-11	21.8678885583006	P11021;A0A7P0TB36;A0A7P0TAI0	23	-21.4556565408242	7.74927269312765e-19	9.42311559484322e-16	HSPA5	FALSE	Not significant	9.42311559484322e-16	15.0258054812903
-1.29238486073159	23.9411574855993	-17.2945731576636	8.47980007771126e-14	5.15571844724845e-11	21.7589828027415	Q9Y617	3	-15.8598630543825	1.8546160284084e-15	1.12760654527231e-12	PSAT1	TRUE	Up in MCM-DLN	1.12760654527231e-12	11.9478424118999
0.992893923456954	28.139277404064	14.0806506494212	4.37406169785842e-12	8.86476504099306e-10	17.8710717559181	P05141	7	14.6956092295257	1.24128494432625e-14	4.86520042125953e-12	SLC25A5	FALSE	Not significant	4.86520042125953e-12	11.3128992643259
-0.66631952137379	26.2186781115199	-12.2336955611722	5.98663483832654e-11	8.08860884822786e-09	15.2554590504754	A0A087X054;A0A494C039;Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2	20	-14.5452443586435	1.60039487541432e-14	4.86520042125953e-12	HYOU1	FALSE	Not significant	4.86520042125953e-12	11.3128992643259
-0.734728380248079	25.8044990381532	-14.4465414082036	2.69285431837947e-12	6.54902170229887e-10	18.3532657146318	P47895;H0Y2X5	8	-14.4090103629009	2.01827067783598e-14	4.90843428849711e-12	ALDH1A3	FALSE	Not significant	4.90843428849711e-12	11.3090570187336
0.753834561961934	26.626757014038	13.0042436754685	1.9391012291923e-11	3.36849584956834e-09	16.3852435495041	P15144	10	13.9440670521245	4.5127956864092e-14	9.14593259112263e-12	ANPEP	FALSE	Not significant	9.14593259112263e-12	11.0387720038531
-1.17156970868987	25.5262858440075	-15.9305913172113	4.15853254835815e-13	1.68559185960117e-10	20.2004817846614	P04179;F5H4R2;F5GYZ5;F5H3C5;G8JLJ2	2	-13.6095065225334	8.15519016948055e-14	1.41667303515548e-11	SOD2	TRUE	Up in MCM-DLN	1.41667303515548e-11	10.8487303723446
-0.683976925851088	25.5198647169046	-11.2895215279272	2.5726364485419e-10	1.42196632792134e-08	13.7889516656342	P49588;A0A6Q8PGN5;A0A6Q8PF33;H3BPK7;A0A6Q8PFY2;A0A6Q8PGE8;A0A6Q8PGR9;A0A6Q8PGB5;A0A6Q8PFK3;A0A6Q8PHJ2;A0A6Q8PH44;A0A6Q8PHP7	16	-13.0214357267299	2.37033545058752e-13	3.60290988489304e-11	AARS	FALSE	Not significant	3.60290988489304e-11	10.4433466002097
1.12685250141076	23.9843052369125	14.8925479539287	1.51114928388866e-12	4.59389382302152e-10	18.9262608521801	A0A7I2V351;A0A7I2V487;A0A7I2YQE1;P52292;A0A7I2V3Z3	2	12.8861014574166	3.04519426357305e-13	4.11439580500536e-11	KPNA2	TRUE	Up in MCM-1G	4.11439580500536e-11	10.3856939314888
-0.679018305185338	26.311826516202	-11.9612367485129	9.03661863607406e-11	8.68827768027028e-09	14.8418609741049	F8W787;A0A1B0GW44;A0A1B0GVD5;A0A1B0GWE8;P07339;A0A1B0GV23;C9JH19;A0A1B0GVP3;A0A1B0GU92;A0A1B0GU03;H7C469	9	-12.5347765148742	5.88804808749506e-13	6.84979219127555e-11	CTSD	FALSE	Not significant	6.84979219127555e-11	10.1643226039165
