logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval	Gene.name	significant	Regulation	plot.adj.pval	minus.log10.adj.pval
-2.50873064136481	23.6424093947756	-17.812352366862	5.50753532341135e-14	9.92337192335431e-11	22.1002238741532	P09104;F5H0C8	3	-18.3131596600335	2.48014650548853e-15	2.41814284285132e-12	ENO2	TRUE	Up in MCM-DLN	2.41814284285132e-12	11.6165180483761
-1.29238486073159	23.9411574855993	-17.065530258958	1.2612604009651e-13	9.92337192335431e-11	21.3091139902205	Q9Y617	3	-16.2794711733687	3.18081926607297e-14	2.06753252294743e-11	PSAT1	TRUE	Up in MCM-DLN	2.06753252294743e-11	10.6845476501307
-1.17156970868987	25.5262858440075	-15.7147174916829	6.13808162925807e-13	2.99231479426331e-10	19.7843795709027	P04179;F5H4R2;F5GYZ5;F5H3C5;G8JLJ2	2	-14.1917422740025	5.87225770864358e-13	1.63584321883643e-10	SOD2	TRUE	Up in MCM-DLN	1.63584321883643e-10	9.78625832197092
1.12685250141076	23.9843052369125	14.6987874598913	2.18265123519761e-12	8.51233981727068e-10	18.5502349342083	A0A7I2V351;A0A7I2V487;A0A7I2YQE1;P52292;A0A7I2V3Z3	2	13.3760318267403	2.01774743287813e-12	4.37178610456928e-10	KPNA2	TRUE	Up in MCM-1G	4.37178610456928e-10	9.35934109463581
1.16774838042234	24.1288124056474	13.4638583189491	1.13002034599463e-11	2.7544245933619e-09	16.9371728616541	Q9UDW1	1	13.1374683657801	2.92742608624261e-12	5.45846756801878e-10	UQCR10	TRUE	Up in MCM-1G	5.45846756801878e-10	9.26292926575056
1.06559384273571	31.3009417280448	11.3890256737985	2.39860797485472e-10	2.17832741592405e-08	13.9072495016656	P62805	7	12.0314330738801	1.76386086539852e-11	2.14970542970444e-09	HIST1H4A	TRUE	Up in MCM-1G	2.14970542970444e-09	8.66762104660464
1.08061537048419	24.5218321936424	11.6837569026627	1.51611484948853e-10	1.73907291558978e-08	14.3644766064604	E9PNM1;P37268;A0A1W2PQ47;E9PJG4	2	11.108412815821	8.68698579643499e-11	6.37013234232435e-09	FDFT1	TRUE	Up in MCM-1G	6.37013234232435e-09	8.19585154491047
-1.08807351085079	24.5215443724371	-10.1969843698236	1.68342378600534e-09	9.65493053738357e-08	11.9579471678945	Q9Y4K0	1	-10.2285564412185	4.3375633036091e-10	2.28601309244263e-08	LOXL2	TRUE	Up in MCM-DLN	2.28601309244263e-08	7.64092128664445
-1.470451875077	26.0262430498016	-9.7327689855879	3.75337754525141e-09	1.78514297883909e-07	11.152947435004	P23381	2	-9.89628076948217	8.15307322420106e-10	3.61329381527093e-08	WARS	TRUE	Up in MCM-DLN	3.61329381527093e-08	7.44209672230612
1.38281780952111	23.776610883233	6.38891169930142	2.71093005553858e-06	3.62076274541112e-05	4.51545957912277	P48449;A0A0G2JQD0	1	6.69514731030844	7.37285258453369e-07	1.04265847586154e-05	LSS	TRUE	Up in MCM-1G	1.04265847586154e-05	4.98185792200267
-1.05621577003646	24.5419135256228	-4.08087175984963	0.000553636498407066	0.00257658990905436	-0.808153020943925	Q8NI22;H7BZ18;A0A3B3IU18	1	-4.2954703873824	0.000263166391967458	0.00134338865009566	MCFD2	TRUE	Up in MCM-DLN	0.00134338865009566	2.871798325251
