logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	count	sca.t	sca.P.Value	sca.adj.pval	Gene.name	significant	Regulation	plot.adj.pval	minus.log10.adj.pval
-0.79732993704711	29.6208551819546	-16.8973405646699	1.52667260359297e-13	9.92337192335431e-11	21.1260325755183	P11021;A0A7P0TB36;A0A7P0TAI0	23	-21.5722819919776	6.70022789288559e-17	1.30654443911269e-13	HSPA5	FALSE	Not significant	1.30654443911269e-13	12.8838758141546
-2.50873064136481	23.6424093947756	-17.812352366862	5.50753532341135e-14	9.92337192335431e-11	22.1002238741532	P09104;F5H0C8	3	-18.3131596600335	2.48014650548853e-15	2.41814284285132e-12	ENO2	TRUE	Up in MCM-DLN	2.41814284285132e-12	11.6165180483761
-1.29238486073159	23.9411574855993	-17.065530258958	1.2612604009651e-13	9.92337192335431e-11	21.3091139902205	Q9Y617	3	-16.2794711733687	3.18081926607297e-14	2.06753252294743e-11	PSAT1	TRUE	Up in MCM-DLN	2.06753252294743e-11	10.6845476501307
-0.734728380248079	25.8044990381532	-14.0994591750967	4.77674128072641e-12	1.55244091623608e-09	17.7836519907349	P47895;H0Y2X5	8	-15.0526726095997	1.69501700503594e-13	8.26320789955021e-11	ALDH1A3	FALSE	Not significant	8.26320789955021e-11	10.082851320402
0.992893923456954	28.139277404064	13.8778121720722	6.42611945540649e-12	1.79013327686324e-09	17.4924849415563	P05141	7	14.5903859581938	3.27887681867278e-13	1.27876195928238e-10	SLC25A5	FALSE	Not significant	1.27876195928238e-10	9.89321029163673
-0.66631952137379	26.2186781115199	-11.970855508614	9.77820035923893e-11	1.58895755837633e-08	14.8009243372196	A0A087X054;A0A494C039;Q9Y4L1;E9PJ21;A0A087WWI4;K7EQK2	20	-14.2459794317288	5.42049166674945e-13	1.63584321883643e-10	HYOU1	FALSE	Not significant	1.63584321883643e-10	9.78625832197092
-1.17156970868987	25.5262858440075	-15.7147174916829	6.13808162925807e-13	2.99231479426331e-10	19.7843795709027	P04179;F5H4R2;F5GYZ5;F5H3C5;G8JLJ2	2	-14.1917422740025	5.87225770864358e-13	1.63584321883643e-10	SOD2	TRUE	Up in MCM-DLN	1.63584321883643e-10	9.78625832197092
0.753834561961934	26.626757014038	12.7513888709196	3.0870908815952e-11	6.68869691012294e-09	15.9447340483388	P15144	10	13.9982938003444	7.82851922356325e-13	1.90820156074354e-10	ANPEP	FALSE	Not significant	1.90820156074354e-10	9.71937575327169
1.12685250141076	23.9843052369125	14.6987874598913	2.18265123519761e-12	8.51233981727068e-10	18.5502349342083	A0A7I2V351;A0A7I2V487;A0A7I2YQE1;P52292;A0A7I2V3Z3	2	13.3760318267403	2.01774743287813e-12	4.37178610456928e-10	KPNA2	TRUE	Up in MCM-1G	4.37178610456928e-10	9.35934109463581
1.16774838042234	24.1288124056474	13.4638583189491	1.13002034599463e-11	2.7544245933619e-09	16.9371728616541	Q9UDW1	1	13.1374683657801	2.92742608624261e-12	5.45846756801878e-10	UQCR10	TRUE	Up in MCM-1G	5.45846756801878e-10	9.26292926575056
-0.325522752901424	29.5612059537109	-8.58457530826498	3.05170295158838e-08	9.18469899819747e-07	9.04331924993722	P30101	27	-13.1053347014612	3.07913555119008e-12	5.45846756801878e-10	PDIA3	FALSE	Not significant	5.45846756801878e-10	9.26292926575056
-0.679018305185338	26.311826516202	-11.720787843781	1.43207966541412e-10	1.73907291558978e-08	14.4212615893659	F8W787;A0A1B0GW44;A0A1B0GVD5;A0A1B0GWE8;P07339;A0A1B0GV23;C9JH19;A0A1B0GVP3;A0A1B0GU92;A0A1B0GU03;H7C469	9	-12.7117088988606	5.7627815735779e-12	9.08072226028304e-10	CTSD	FALSE	Not significant	9.08072226028304e-10	9.04187960729602
