block	component	feature	loading
transcriptome	1	PABPC5	-0.608983707905586
transcriptome	1	ADORA1	-0.509676399114233
transcriptome	1	PSAPL1	-0.443795395733413
transcriptome	1	SPON2	-0.351093388541447
transcriptome	1	FAM133A	0.221693236116532
proteome	1	COL1A2	0.700781018829737
proteome	1	ITGA2	0.439749317960427
proteome	1	COL18A1	0.386243954630713
proteome	1	LGALS3BP	0.323069007637818
proteome	1	LOXL2	0.248934780246631
sers	1	SERS_region_800_810	0.869843687852402
sers	1	SERS_region_1610_1620	0.493327435587494
