original_feature	cleaned_feature	is_ensembl	gene_symbol	diablo_label
ENSG00000272097	ENSG00000272097	TRUE	TMEM14B-DT	TMEM14B-DT
ENSG00000137210	ENSG00000137210	TRUE	TMEM14B	TMEM14B
ENSG00000153157	ENSG00000153157	TRUE	SYCP2L	SYCP2L
ENSG00000222383	ENSG00000222383	TRUE	RNA5SP203	RNA5SP203
ENSG00000111837	ENSG00000111837	TRUE	MAK	MAK
ENSG00000124827	ENSG00000124827	TRUE	GCM2	GCM2
ENSG00000197977	ENSG00000197977	TRUE	ELOVL2	ELOVL2
ENSG00000230314	ENSG00000230314	TRUE	ELOVL2-AS1	ELOVL2-AS1
ENSG00000224531	ENSG00000224531	TRUE	SMIM13	SMIM13
ENSG00000244476	ENSG00000244476	TRUE	ERVFRD-1	ERVFRD-1
ENSG00000111859	ENSG00000111859	TRUE	NEDD9	NEDD9
ENSG00000205269	ENSG00000205269	TRUE	TMEM170B	TMEM170B
ENSG00000111863	ENSG00000111863	TRUE	ADTRP	ADTRP
ENSG00000229896	ENSG00000229896	TRUE	NA	ENSG00000229896
ENSG00000095951	ENSG00000095951	TRUE	HIVEP1	HIVEP1
ENSG00000078401	ENSG00000078401	TRUE	EDN1	EDN1
ENSG00000212802	ENSG00000212802	TRUE	RPL15P3	RPL15P3
ENSG00000112137	ENSG00000112137	TRUE	PHACTR1	PHACTR1
ENSG00000215022	ENSG00000215022	TRUE	LOC100130357	LOC100130357
ENSG00000145979	ENSG00000145979	TRUE	TBC1D7	TBC1D7
ENSG00000272379	ENSG00000272379	TRUE	NA	ENSG00000272379
ENSG00000145990	ENSG00000145990	TRUE	GFOD1	GFOD1
ENSG00000124523	ENSG00000124523	TRUE	SIRT5	SIRT5
ENSG00000261071	ENSG00000261071	TRUE	NA	ENSG00000261071
ENSG00000225921	ENSG00000225921	TRUE	NOL7	NOL7
ENSG00000010017	ENSG00000010017	TRUE	RANBP9	RANBP9
ENSG00000050393	ENSG00000050393	TRUE	MCUR1	MCUR1
ENSG00000180537	ENSG00000180537	TRUE	RNF182	RNF182
ENSG00000220868	ENSG00000220868	TRUE	MRPL35P1	MRPL35P1
ENSG00000112149	ENSG00000112149	TRUE	CD83	CD83
ENSG00000234261	ENSG00000234261	TRUE	NA	ENSG00000234261
ENSG00000271888	ENSG00000271888	TRUE	NA	ENSG00000271888
ENSG00000008083	ENSG00000008083	TRUE	JARID2	JARID2
